(T) | Epoch=060, loss=8.5428, con=7.7938, intent=2.4587, rec=0.0106, this epoch 1.4465, total 76.5421  alpha=[pap:0.584, psp:0.416]
(T) | Epoch=061, loss=8.6260, con=7.8714, intent=2.4597, rec=0.0142, this epoch 2.0245, total 78.5666
(T) | Epoch=062, loss=8.6684, con=7.9114, intent=2.4597, rec=0.0124, this epoch 1.5380, total 80.1046
(T) | Epoch=063, loss=8.6552, con=7.8970, intent=2.4587, rec=0.0098, this epoch 1.4765, total 81.5811
(T) | Epoch=064, loss=8.6137, con=7.8558, intent=2.4573, rec=0.0088, this epoch 1.6937, total 83.2749
(T) | Epoch=065, loss=8.5844, con=7.8271, intent=2.4562, rec=0.0102, this epoch 1.5498, total 84.8247
(T) | Epoch=066, loss=8.5956, con=7.8399, intent=2.4559, rec=0.0079, this epoch 1.9182, total 86.7429
(T) | Epoch=067, loss=8.6411, con=7.8860, intent=2.4559, rec=0.0105, this epoch 1.6108, total 88.3536
(T) | Epoch=068, loss=8.6355, con=7.8803, intent=2.4558, rec=0.0078, this epoch 1.5148, total 89.8685
(T) | Epoch=069, loss=8.5846, con=7.8264, intent=2.4555, rec=0.0150, this epoch 1.6069, total 91.4754
(T) | Epoch=070, loss=8.5469, con=7.7867, intent=2.4554, rec=0.0180, this epoch 1.4669, total 92.9423  alpha=[pap:0.596, psp:0.404]
(T) | Epoch=071, loss=8.5466, con=7.7848, intent=2.4553, rec=0.0154, this epoch 1.6373, total 94.5796
(T) | Epoch=072, loss=8.5867, con=7.8219, intent=2.4553, rec=0.0377, this epoch 1.4272, total 96.0068
(T) | Epoch=073, loss=8.6434, con=7.8777, intent=2.4551, rec=0.0422, this epoch 1.5578, total 97.5646
(T) | Epoch=074, loss=8.6693, con=7.9063, intent=2.4546, rec=0.0320, this epoch 1.5294, total 99.0939
(T) | Epoch=075, loss=8.6444, con=7.8823, intent=2.4539, rec=0.0307, this epoch 1.8961, total 100.9900
(T) | Epoch=076, loss=8.5605, con=7.7985, intent=2.4534, rec=0.0250, this epoch 1.5429, total 102.5329
(T) | Epoch=077, loss=8.4646, con=7.7039, intent=2.4533, rec=0.0135, this epoch 1.4268, total 103.9597
(T) | Epoch=078, loss=8.4218, con=7.6605, intent=2.4536, rec=0.0143, this epoch 1.4568, total 105.4166
(T) | Epoch=079, loss=8.4297, con=7.6691, intent=2.4539, rec=0.0130, this epoch 1.7282, total 107.1447
(T) | Epoch=080, loss=8.4721, con=7.7127, intent=2.4542, rec=0.0080, this epoch 1.5614, total 108.7061  alpha=[pap:0.594, psp:0.406]
(T) | Epoch=081, loss=8.5433, con=7.7851, intent=2.4540, rec=0.0107, this epoch 1.7517, total 110.4578
(T) | Epoch=082, loss=8.6013, con=7.8446, intent=2.4535, rec=0.0092, this epoch 1.5666, total 112.0243
(T) | Epoch=083, loss=8.6163, con=7.8607, intent=2.4529, rec=0.0111, this epoch 1.4386, total 113.4629
(T) | Epoch=084, loss=8.5823, con=7.8283, intent=2.4523, rec=0.0103, this epoch 1.6220, total 115.0849
(T) | Epoch=085, loss=8.5213, con=7.7663, intent=2.4521, rec=0.0227, this epoch 1.4816, total 116.5665
(T) | Epoch=086, loss=8.4570, con=7.7018, intent=2.4521, rec=0.0216, this epoch 1.6598, total 118.2263
(T) | Epoch=087, loss=8.4127, con=7.6560, intent=2.4523, rec=0.0217, this epoch 1.4977, total 119.7240
(T) | Epoch=088, loss=8.3857, con=7.6265, intent=2.4525, rec=0.0306, this epoch 1.8220, total 121.5460
(T) | Epoch=089, loss=8.3866, con=7.6260, intent=2.4528, rec=0.0258, this epoch 1.5476, total 123.0936
(T) | Epoch=090, loss=8.4132, con=7.6516, intent=2.4530, rec=0.0184, this epoch 1.5081, total 124.6017  alpha=[pap:0.605, psp:0.395]
(T) | Epoch=091, loss=8.4954, con=7.7334, intent=2.4530, rec=0.0197, this epoch 1.5995, total 126.2012
(T) | Epoch=092, loss=8.5202, con=7.7591, intent=2.4527, rec=0.0182, this epoch 1.4410, total 127.6422
(T) | Epoch=093, loss=8.4882, con=7.7269, intent=2.4523, rec=0.0178, this epoch 1.7500, total 129.3923
(T) | Epoch=094, loss=8.4254, con=7.6660, intent=2.4519, rec=0.0198, this epoch 1.5579, total 130.9502
(T) | Epoch=095, loss=8.4118, con=7.6539, intent=2.4517, rec=0.0220, this epoch 1.4612, total 132.4114
(T) | Epoch=096, loss=8.4308, con=7.6741, intent=2.4516, rec=0.0251, this epoch 1.6689, total 134.0803
(T) | Epoch=097, loss=8.4484, con=7.6928, intent=2.4516, rec=0.0229, this epoch 1.4281, total 135.5085
(T) | Epoch=098, loss=8.4351, con=7.6778, intent=2.4515, rec=0.0455, this epoch 1.7863, total 137.2948
(T) | Epoch=099, loss=8.3880, con=7.6324, intent=2.4515, rec=0.0247, this epoch 1.5541, total 138.8489
(T) | Epoch=100, loss=8.3568, con=7.6009, intent=2.4515, rec=0.0260, this epoch 1.4682, total 140.3171  alpha=[pap:0.610, psp:0.390]
(T) | Epoch=101, loss=8.3593, con=7.6033, intent=2.4514, rec=0.0234, this epoch 1.8480, total 142.1651
(T) | Epoch=102, loss=8.4103, con=7.6544, intent=2.4514, rec=0.0159, this epoch 1.5793, total 143.7445
(T) | Epoch=103, loss=8.4606, con=7.7045, intent=2.4512, rec=0.0141, this epoch 1.7529, total 145.4974
(T) | Epoch=104, loss=8.4856, con=7.7299, intent=2.4509, rec=0.0137, this epoch 1.5148, total 147.0122
(T) | Epoch=105, loss=8.4639, con=7.7083, intent=2.4507, rec=0.0120, this epoch 1.5049, total 148.5170
(T) | Epoch=106, loss=8.4179, con=7.6619, intent=2.4507, rec=0.0151, this epoch 1.6105, total 150.1275
(T) | Epoch=107, loss=8.3698, con=7.6133, intent=2.4509, rec=0.0204, this epoch 1.5409, total 151.6685
(T) | Epoch=108, loss=8.3578, con=7.6021, intent=2.4512, rec=0.0201, this epoch 1.9050, total 153.5734
(T) | Epoch=109, loss=8.3761, con=7.6189, intent=2.4516, rec=0.0384, this epoch 1.5354, total 155.1088
(T) | Epoch=110, loss=8.3963, con=7.6401, intent=2.4518, rec=0.0441, this epoch 1.4947, total 156.6035  alpha=[pap:0.645, psp:0.355]
(T) | Epoch=111, loss=8.4009, con=7.6454, intent=2.4518, rec=0.0391, this epoch 1.7219, total 158.3254
(T) | Epoch=112, loss=8.3847, con=7.6290, intent=2.4518, rec=0.0434, this epoch 1.5246, total 159.8500
(T) | Epoch=113, loss=8.3612, con=7.6054, intent=2.4518, rec=0.0368, this epoch 1.8808, total 161.7308
(T) | Epoch=114, loss=8.3411, con=7.5840, intent=2.4520, rec=0.0385, this epoch 1.5898, total 163.3206
(T) | Epoch=115, loss=8.3313, con=7.5728, intent=2.4522, rec=0.0290, this epoch 1.4878, total 164.8084
(T) | Epoch=116, loss=8.3372, con=7.5781, intent=2.4523, rec=0.0184, this epoch 1.6101, total 166.4185
(T) | Epoch=117, loss=8.3538, con=7.5928, intent=2.4522, rec=0.0172, this epoch 1.4864, total 167.9049
(T) | Epoch=118, loss=8.3714, con=7.6099, intent=2.4519, rec=0.0110, this epoch 1.7431, total 169.6480
(T) | Epoch=119, loss=8.3803, con=7.6191, intent=2.4515, rec=0.0072, this epoch 1.5560, total 171.2040
(T) | Epoch=120, loss=8.3666, con=7.6060, intent=2.4512, rec=0.0102, this epoch 1.4435, total 172.6475  alpha=[pap:0.629, psp:0.371]
(T) | Epoch=121, loss=8.3380, con=7.5790, intent=2.4511, rec=0.0139, this epoch 1.8344, total 174.4819
(T) | Epoch=122, loss=8.3089, con=7.5522, intent=2.4514, rec=0.0112, this epoch 1.5483, total 176.0302
(T) | Epoch=123, loss=8.2925, con=7.5357, intent=2.4516, rec=0.0238, this epoch 1.4786, total 177.5088
(T) | Epoch=124, loss=8.2848, con=7.5289, intent=2.4518, rec=0.0255, this epoch 1.9192, total 179.4280
(T) | Epoch=125, loss=8.2907, con=7.5348, intent=2.4518, rec=0.0274, this epoch 1.5518, total 180.9798
(T) | Epoch=126, loss=8.3023, con=7.5458, intent=2.4519, rec=0.0306, this epoch 1.4893, total 182.4690
(T) | Epoch=127, loss=8.3180, con=7.5609, intent=2.4522, rec=0.0340, this epoch 1.6672, total 184.1363
(T) | Epoch=128, loss=8.3248, con=7.5678, intent=2.4528, rec=0.0263, this epoch 1.5554, total 185.6917
(T) | Epoch=129, loss=8.3356, con=7.5781, intent=2.4537, rec=0.0254, this epoch 1.4361, total 187.1278
(T) | Epoch=130, loss=8.3351, con=7.5768, intent=2.4545, rec=0.0281, this epoch 1.5794, total 188.7072  alpha=[pap:0.664, psp:0.336]
