(T) | Epoch=052, loss=8.6820, con=7.9186, intent=2.4660, rec=0.0110, this epoch 1.8022, total 95.3878
(T) | Epoch=053, loss=8.6615, con=7.9021, intent=2.4665, rec=0.0117, this epoch 1.8501, total 97.2379
(T) | Epoch=054, loss=8.6658, con=7.9078, intent=2.4666, rec=0.0097, this epoch 1.7919, total 99.0298
(T) | Epoch=055, loss=8.6903, con=7.9314, intent=2.4664, rec=0.0109, this epoch 1.7904, total 100.8203
(T) | Epoch=056, loss=8.6820, con=7.9217, intent=2.4663, rec=0.0121, this epoch 1.8423, total 102.6626
(T) | Epoch=057, loss=8.6397, con=7.8788, intent=2.4665, rec=0.0085, this epoch 1.7944, total 104.4570
(T) | Epoch=058, loss=8.5802, con=7.8194, intent=2.4669, rec=0.0084, this epoch 1.8049, total 106.2619
(T) | Epoch=059, loss=8.5795, con=7.8200, intent=2.4667, rec=0.0085, this epoch 1.7912, total 108.0530
(T) | Epoch=060, loss=8.6401, con=7.8822, intent=2.4653, rec=0.0152, this epoch 1.8045, total 109.8576  alpha=[pap:0.686, psp:0.314]
(T) | Epoch=061, loss=8.6831, con=7.9280, intent=2.4631, rec=0.0077, this epoch 1.9743, total 111.8319
(T) | Epoch=062, loss=8.6895, con=7.9345, intent=2.4611, rec=0.0172, this epoch 1.7880, total 113.6199
(T) | Epoch=063, loss=8.6234, con=7.8686, intent=2.4598, rec=0.0190, this epoch 1.7912, total 115.4111
(T) | Epoch=064, loss=8.5395, con=7.7842, intent=2.4596, rec=0.0142, this epoch 1.8575, total 117.2686
(T) | Epoch=065, loss=8.5431, con=7.7868, intent=2.4611, rec=0.0097, this epoch 1.7995, total 119.0680
(T) | Epoch=066, loss=8.6883, con=7.9308, intent=2.4636, rec=0.0112, this epoch 1.7922, total 120.8602
(T) | Epoch=067, loss=8.8190, con=8.0616, intent=2.4647, rec=0.0119, this epoch 1.8378, total 122.6980
(T) | Epoch=068, loss=8.8199, con=8.0629, intent=2.4637, rec=0.0096, this epoch 1.8048, total 124.5029
(T) | Epoch=069, loss=8.6569, con=7.8997, intent=2.4615, rec=0.0153, this epoch 1.9036, total 126.4064
(T) | Epoch=070, loss=8.4734, con=7.7165, intent=2.4595, rec=0.0150, this epoch 1.7940, total 128.2005  alpha=[pap:0.601, psp:0.399]
(T) | Epoch=071, loss=8.4504, con=7.6967, intent=2.4589, rec=0.0110, this epoch 1.7955, total 129.9959
(T) | Epoch=072, loss=8.5228, con=7.7712, intent=2.4592, rec=0.0107, this epoch 1.8421, total 131.8380
(T) | Epoch=073, loss=8.6081, con=7.8581, intent=2.4595, rec=0.0136, this epoch 1.7963, total 133.6343
(T) | Epoch=074, loss=8.6561, con=7.9071, intent=2.4594, rec=0.0124, this epoch 1.7892, total 135.4235
(T) | Epoch=075, loss=8.6560, con=7.9082, intent=2.4588, rec=0.0112, this epoch 1.8277, total 137.2512
(T) | Epoch=076, loss=8.6119, con=7.8637, intent=2.4583, rec=0.0140, this epoch 1.7975, total 139.0487
(T) | Epoch=077, loss=8.5542, con=7.8056, intent=2.4580, rec=0.0147, this epoch 1.8143, total 140.8630
(T) | Epoch=078, loss=8.4952, con=7.7454, intent=2.4582, rec=0.0183, this epoch 1.8375, total 142.7006
(T) | Epoch=079, loss=8.4696, con=7.7196, intent=2.4587, rec=0.0094, this epoch 1.7988, total 144.4994
(T) | Epoch=080, loss=8.4601, con=7.7092, intent=2.4592, rec=0.0089, this epoch 1.8473, total 146.3467  alpha=[pap:0.645, psp:0.355]
(T) | Epoch=081, loss=8.4728, con=7.7199, intent=2.4594, rec=0.0185, this epoch 1.9567, total 148.3034
(T) | Epoch=082, loss=8.4773, con=7.7253, intent=2.4592, rec=0.0082, this epoch 1.8071, total 150.1106
(T) | Epoch=083, loss=8.4776, con=7.7252, intent=2.4587, rec=0.0100, this epoch 1.8250, total 151.9356
(T) | Epoch=084, loss=8.4896, con=7.7375, intent=2.4578, rec=0.0087, this epoch 1.8092, total 153.7448
(T) | Epoch=085, loss=8.4722, con=7.7205, intent=2.4569, rec=0.0111, this epoch 1.8235, total 155.5683
(T) | Epoch=086, loss=8.4428, con=7.6916, intent=2.4563, rec=0.0093, this epoch 1.8901, total 157.4585
(T) | Epoch=087, loss=8.4207, con=7.6689, intent=2.4560, rec=0.0154, this epoch 1.8282, total 159.2867
(T) | Epoch=088, loss=8.4054, con=7.6534, intent=2.4563, rec=0.0229, this epoch 1.8294, total 161.1160
(T) | Epoch=089, loss=8.3983, con=7.6461, intent=2.4569, rec=0.0265, this epoch 1.8195, total 162.9356
(T) | Epoch=090, loss=8.3882, con=7.6346, intent=2.4573, rec=0.0341, this epoch 1.8093, total 164.7449  alpha=[pap:0.709, psp:0.291]
(T) | Epoch=091, loss=8.3682, con=7.6157, intent=2.4575, rec=0.0291, this epoch 1.8635, total 166.6083
(T) | Epoch=092, loss=8.3589, con=7.6072, intent=2.4573, rec=0.0207, this epoch 1.8134, total 168.4218
(T) | Epoch=093, loss=8.3625, con=7.6109, intent=2.4569, rec=0.0273, this epoch 1.8142, total 170.2360
(T) | Epoch=094, loss=8.3708, con=7.6201, intent=2.4564, rec=0.0187, this epoch 1.8092, total 172.0452
(T) | Epoch=095, loss=8.3772, con=7.6253, intent=2.4558, rec=0.0289, this epoch 1.8073, total 173.8524
(T) | Epoch=096, loss=8.3666, con=7.6149, intent=2.4552, rec=0.0293, this epoch 1.8022, total 175.6546
(T) | Epoch=097, loss=8.3598, con=7.6086, intent=2.4546, rec=0.0248, this epoch 1.8645, total 177.5191
(T) | Epoch=098, loss=8.3633, con=7.6111, intent=2.4543, rec=0.0377, this epoch 1.8082, total 179.3273
(T) | Epoch=099, loss=8.3890, con=7.6323, intent=2.4542, rec=0.0843, this epoch 2.0288, total 181.3561
(T) | Epoch=100, loss=8.4101, con=7.6570, intent=2.4542, rec=0.0518, this epoch 1.7975, total 183.1536  alpha=[pap:0.754, psp:0.246]
(T) | Epoch=101, loss=8.4392, con=7.6876, intent=2.4541, rec=0.0398, this epoch 1.9814, total 185.1351
(T) | Epoch=102, loss=8.4260, con=7.6736, intent=2.4538, rec=0.0463, this epoch 1.8239, total 186.9589
(T) | Epoch=103, loss=8.3990, con=7.6467, intent=2.4534, rec=0.0461, this epoch 1.8217, total 188.7807
(T) | Epoch=104, loss=8.3582, con=7.6065, intent=2.4531, rec=0.0361, this epoch 1.8129, total 190.5936
(T) | Epoch=105, loss=8.3372, con=7.5863, intent=2.4529, rec=0.0212, this epoch 1.8885, total 192.4820
(T) | Epoch=106, loss=8.3505, con=7.5981, intent=2.4529, rec=0.0250, this epoch 1.8247, total 194.3067
(T) | Epoch=107, loss=8.3845, con=7.6327, intent=2.4530, rec=0.0177, this epoch 1.8658, total 196.1725
(T) | Epoch=108, loss=8.4031, con=7.6499, intent=2.4530, rec=0.0320, this epoch 1.8150, total 197.9875
(T) | Epoch=109, loss=8.3930, con=7.6388, intent=2.4530, rec=0.0373, this epoch 1.8151, total 199.8026
(T) | Epoch=110, loss=8.3672, con=7.6141, intent=2.4531, rec=0.0308, this epoch 1.8835, total 201.6861  alpha=[pap:0.748, psp:0.252]
(T) | Epoch=111, loss=8.3621, con=7.6094, intent=2.4530, rec=0.0401, this epoch 1.8128, total 203.4989
(T) | Epoch=112, loss=8.3680, con=7.6165, intent=2.4529, rec=0.0420, this epoch 1.8216, total 205.3205
(T) | Epoch=113, loss=8.3761, con=7.6265, intent=2.4525, rec=0.0330, this epoch 1.8236, total 207.1441
(T) | Epoch=114, loss=8.3634, con=7.6143, intent=2.4519, rec=0.0310, this epoch 1.8218, total 208.9659
(T) | Epoch=115, loss=8.3304, con=7.5817, intent=2.4515, rec=0.0333, this epoch 1.8191, total 210.7850
(T) | Epoch=116, loss=8.3027, con=7.5543, intent=2.4514, rec=0.0272, this epoch 1.8766, total 212.6616
(T) | Epoch=117, loss=8.2980, con=7.5481, intent=2.4517, rec=0.0379, this epoch 1.8269, total 214.4886
(T) | Epoch=118, loss=8.3165, con=7.5676, intent=2.4520, rec=0.0207, this epoch 1.8638, total 216.3523
(T) | Epoch=119, loss=8.3540, con=7.6048, intent=2.4521, rec=0.0195, this epoch 1.8196, total 218.1719
(T) | Epoch=120, loss=8.3791, con=7.6300, intent=2.4519, rec=0.0172, this epoch 1.8252, total 219.9971  alpha=[pap:0.755, psp:0.245]
(T) | Epoch=121, loss=8.3782, con=7.6295, intent=2.4514, rec=0.0141, this epoch 1.9887, total 221.9858
(T) | Epoch=122, loss=8.3483, con=7.5974, intent=2.4508, rec=0.0347, this epoch 1.8191, total 223.8049
(T) | Epoch=123, loss=8.2944, con=7.5440, intent=2.4504, rec=0.0311, this epoch 1.8177, total 225.6225
(T) | Epoch=124, loss=8.2566, con=7.5061, intent=2.4502, rec=0.0323, this epoch 1.8857, total 227.5082
(T) | Epoch=125, loss=8.2602, con=7.5083, intent=2.4504, rec=0.0540, this epoch 1.8201, total 229.3283
(T) | Epoch=126, loss=8.3083, con=7.5580, intent=2.4507, rec=0.0463, this epoch 1.8796, total 231.2080
(T) | Epoch=127, loss=8.3591, con=7.6100, intent=2.4509, rec=0.0399, this epoch 1.8194, total 233.0274
(T) | Epoch=128, loss=8.3860, con=7.6370, intent=2.4507, rec=0.0437, this epoch 1.8281, total 234.8554
(T) | Epoch=129, loss=8.3690, con=7.6208, intent=2.4504, rec=0.0378, this epoch 1.8672, total 236.7227
(T) | Epoch=130, loss=8.3148, con=7.5662, intent=2.4499, rec=0.0343, this epoch 1.8055, total 238.5282  alpha=[pap:0.719, psp:0.281]
(T) | Epoch=131, loss=8.2597, con=7.5115, intent=2.4496, rec=0.0345, this epoch 1.8199, total 240.3481
(T) | Epoch=132, loss=8.2271, con=7.4786, intent=2.4496, rec=0.0296, this epoch 1.8366, total 242.1846
(T) | Epoch=133, loss=8.2246, con=7.4760, intent=2.4498, rec=0.0242, this epoch 1.8210, total 244.0057
(T) | Epoch=134, loss=8.2467, con=7.4970, intent=2.4501, rec=0.0253, this epoch 1.8104, total 245.8161
(T) | Epoch=135, loss=8.2698, con=7.5204, intent=2.4503, rec=0.0248, this epoch 1.8672, total 247.6833
(T) | Epoch=136, loss=8.2899, con=7.5398, intent=2.4504, rec=0.0290, this epoch 1.8194, total 249.5027
(T) | Epoch=137, loss=8.2915, con=7.5414, intent=2.4503, rec=0.0252, this epoch 1.8559, total 251.3587
(T) | Epoch=138, loss=8.2797, con=7.5285, intent=2.4502, rec=0.0340, this epoch 1.8206, total 253.1792
(T) | Epoch=139, loss=8.2573, con=7.5059, intent=2.4501, rec=0.0297, this epoch 1.8179, total 254.9971
(T) | Epoch=140, loss=8.2322, con=7.4799, intent=2.4502, rec=0.0353, this epoch 1.8564, total 256.8535  alpha=[pap:0.748, psp:0.252]
(T) | Epoch=141, loss=8.2204, con=7.4625, intent=2.4504, rec=0.0902, this epoch 1.9920, total 258.8455
(T) | Epoch=142, loss=8.2073, con=7.4534, intent=2.4506, rec=0.0461, this epoch 1.8002, total 260.6457
(T) | Epoch=143, loss=8.1979, con=7.4450, intent=2.4508, rec=0.0384, this epoch 1.8646, total 262.5103
(T) | Epoch=144, loss=8.1940, con=7.4408, intent=2.4508, rec=0.0419, this epoch 1.8154, total 264.3257
(T) | Epoch=145, loss=8.1835, con=7.4297, intent=2.4508, rec=0.0445, this epoch 1.8552, total 266.1808
(T) | Epoch=146, loss=8.1889, con=7.4351, intent=2.4508, rec=0.0439, this epoch 1.8072, total 267.9881
(T) | Epoch=147, loss=8.1952, con=7.4430, intent=2.4508, rec=0.0314, this epoch 1.8077, total 269.7958
(T) | Epoch=148, loss=8.1919, con=7.4390, intent=2.4506, rec=0.0442, this epoch 1.8712, total 271.6670
(T) | Epoch=149, loss=8.1859, con=7.4346, intent=2.4504, rec=0.0356, this epoch 1.8152, total 273.4821
(T) | Epoch=150, loss=8.1964, con=7.4451, intent=2.4503, rec=0.0397, this epoch 1.8316, total 275.3137  alpha=[pap:0.765, psp:0.235]
(T) | Epoch=151, loss=8.2025, con=7.4521, intent=2.4502, rec=0.0353, this epoch 1.8361, total 277.1498
(T) | Epoch=152, loss=8.1772, con=7.4274, intent=2.4502, rec=0.0288, this epoch 1.8229, total 278.9727
(T) | Epoch=153, loss=8.1605, con=7.4083, intent=2.4504, rec=0.0357, this epoch 1.8144, total 280.7871
