(T) | Epoch=054, loss=8.8235, con=8.0664, intent=2.4560, rec=0.0071, this epoch 1.9518, total 109.8425
(T) | Epoch=055, loss=8.8135, con=8.0563, intent=2.4556, rec=0.0100, this epoch 1.9127, total 111.7553
(T) | Epoch=056, loss=8.8076, con=8.0497, intent=2.4554, rec=0.0182, this epoch 1.8809, total 113.6362
(T) | Epoch=057, loss=8.7671, con=8.0084, intent=2.4552, rec=0.0218, this epoch 1.8177, total 115.4539
(T) | Epoch=058, loss=8.6737, con=7.9142, intent=2.4552, rec=0.0165, this epoch 2.1741, total 117.6280
(T) | Epoch=059, loss=8.6115, con=7.8498, intent=2.4563, rec=0.0221, this epoch 1.9628, total 119.5908
(T) | Epoch=060, loss=8.7319, con=7.9695, intent=2.4591, rec=0.0226, this epoch 2.0097, total 121.6005  alpha=[mam:0.158, mdm:0.842]
(T) | Epoch=061, loss=8.7756, con=8.0125, intent=2.4602, rec=0.0255, this epoch 2.1570, total 123.7574
(T) | Epoch=062, loss=8.6950, con=7.9316, intent=2.4585, rec=0.0224, this epoch 1.8025, total 125.5599
(T) | Epoch=063, loss=8.5898, con=7.8267, intent=2.4562, rec=0.0158, this epoch 2.1845, total 127.7444
(T) | Epoch=064, loss=8.6817, con=7.9196, intent=2.4554, rec=0.0234, this epoch 1.9269, total 129.6713
(T) | Epoch=065, loss=8.8141, con=8.0533, intent=2.4552, rec=0.0211, this epoch 2.2830, total 131.9543
(T) | Epoch=066, loss=8.8266, con=8.0672, intent=2.4548, rec=0.0162, this epoch 1.9484, total 133.9026
(T) | Epoch=067, loss=8.7297, con=7.9695, intent=2.4543, rec=0.0101, this epoch 2.0271, total 135.9297
(T) | Epoch=068, loss=8.5796, con=7.8177, intent=2.4540, rec=0.0075, this epoch 1.8234, total 137.7532
(T) | Epoch=069, loss=8.4764, con=7.7121, intent=2.4542, rec=0.0069, this epoch 2.1925, total 139.9456
(T) | Epoch=070, loss=8.4645, con=7.6977, intent=2.4550, rec=0.0074, this epoch 1.9811, total 141.9267  alpha=[mam:0.209, mdm:0.791]
(T) | Epoch=071, loss=8.4530, con=7.6856, intent=2.4548, rec=0.0076, this epoch 1.9833, total 143.9100
(T) | Epoch=072, loss=8.4562, con=7.6890, intent=2.4544, rec=0.0082, this epoch 1.9662, total 145.8761
(T) | Epoch=073, loss=8.4679, con=7.7004, intent=2.4540, rec=0.0121, this epoch 2.3681, total 148.2443
(T) | Epoch=074, loss=8.4774, con=7.7113, intent=2.4537, rec=0.0064, this epoch 1.8430, total 150.0873
(T) | Epoch=075, loss=8.4778, con=7.7106, intent=2.4534, rec=0.0121, this epoch 2.1584, total 152.2457
(T) | Epoch=076, loss=8.4704, con=7.7016, intent=2.4532, rec=0.0165, this epoch 1.8965, total 154.1422
(T) | Epoch=077, loss=8.4453, con=7.6772, intent=2.4532, rec=0.0110, this epoch 2.1040, total 156.2462
(T) | Epoch=078, loss=8.4161, con=7.6449, intent=2.4535, rec=0.0141, this epoch 2.0082, total 158.2544
(T) | Epoch=079, loss=8.3676, con=7.5956, intent=2.4539, rec=0.0114, this epoch 1.9175, total 160.1718
(T) | Epoch=080, loss=8.3230, con=7.5508, intent=2.4547, rec=0.0142, this epoch 2.2155, total 162.3873  alpha=[mam:0.177, mdm:0.823]
(T) | Epoch=081, loss=8.2853, con=7.5122, intent=2.4559, rec=0.0110, this epoch 2.0701, total 164.4575
(T) | Epoch=082, loss=8.2786, con=7.5054, intent=2.4569, rec=0.0084, this epoch 1.9515, total 166.4090
(T) | Epoch=083, loss=8.2748, con=7.5015, intent=2.4573, rec=0.0089, this epoch 2.0155, total 168.4245
(T) | Epoch=084, loss=8.2637, con=7.4909, intent=2.4570, rec=0.0106, this epoch 1.8197, total 170.2442
(T) | Epoch=085, loss=8.2445, con=7.4738, intent=2.4563, rec=0.0099, this epoch 2.2432, total 172.4874
(T) | Epoch=086, loss=8.2629, con=7.4933, intent=2.4557, rec=0.0116, this epoch 1.8863, total 174.3736
(T) | Epoch=087, loss=8.3137, con=7.5448, intent=2.4551, rec=0.0140, this epoch 2.0962, total 176.4698
(T) | Epoch=088, loss=8.3179, con=7.5510, intent=2.4539, rec=0.0129, this epoch 1.8068, total 178.2766
(T) | Epoch=089, loss=8.3239, con=7.5571, intent=2.4530, rec=0.0162, this epoch 2.1553, total 180.4318
(T) | Epoch=090, loss=8.2824, con=7.5134, intent=2.4527, rec=0.0144, this epoch 1.8968, total 182.3287  alpha=[mam:0.138, mdm:0.862]
(T) | Epoch=091, loss=8.2556, con=7.4826, intent=2.4536, rec=0.0215, this epoch 2.0720, total 184.4007
(T) | Epoch=092, loss=8.3601, con=7.5824, intent=2.4553, rec=0.0451, this epoch 2.0516, total 186.4523
(T) | Epoch=093, loss=8.3318, con=7.5519, intent=2.4554, rec=0.0614, this epoch 1.9593, total 188.4115
(T) | Epoch=094, loss=8.2794, con=7.4997, intent=2.4540, rec=0.0512, this epoch 2.3571, total 190.7686
(T) | Epoch=095, loss=8.3198, con=7.5401, intent=2.4526, rec=0.0618, this epoch 1.9737, total 192.7423
(T) | Epoch=096, loss=8.3207, con=7.5425, intent=2.4516, rec=0.0652, this epoch 1.9688, total 194.7111
(T) | Epoch=097, loss=8.3474, con=7.5691, intent=2.4511, rec=0.0812, this epoch 1.9101, total 196.6212
(T) | Epoch=098, loss=8.3731, con=7.5929, intent=2.4507, rec=0.1170, this epoch 2.0233, total 198.6445
(T) | Epoch=099, loss=8.4144, con=7.6378, intent=2.4504, rec=0.0945, this epoch 2.0874, total 200.7319
(T) | Epoch=100, loss=8.4898, con=7.7141, intent=2.4502, rec=0.0933, this epoch 1.9408, total 202.6727  alpha=[mam:0.089, mdm:0.911]
(T) | Epoch=101, loss=8.4562, con=7.6792, intent=2.4500, rec=0.1089, this epoch 2.4497, total 205.1225
(T) | Epoch=102, loss=8.3560, con=7.5780, intent=2.4497, rec=0.1112, this epoch 2.0786, total 207.2011
(T) | Epoch=103, loss=8.2774, con=7.4988, intent=2.4494, rec=0.1049, this epoch 1.9148, total 209.1159
(T) | Epoch=104, loss=8.2955, con=7.5194, intent=2.4491, rec=0.0746, this epoch 2.3546, total 211.4705
(T) | Epoch=105, loss=8.3754, con=7.6020, intent=2.4490, rec=0.0530, this epoch 1.9575, total 213.4280
