(T) | Epoch=045, loss=7.9774, con=7.1994, intent=2.4953, rec=0.0304, this epoch 1.8061, total 80.0903
(T) | Epoch=046, loss=7.9556, con=7.1776, intent=2.4952, rec=0.0326, this epoch 1.7479, total 81.8382
(T) | Epoch=047, loss=7.9228, con=7.1442, intent=2.4956, rec=0.0392, this epoch 1.7554, total 83.5936
(T) | Epoch=048, loss=7.8937, con=7.1150, intent=2.4964, rec=0.0388, this epoch 1.7546, total 85.3482
(T) | Epoch=049, loss=7.8704, con=7.0926, intent=2.4974, rec=0.0282, this epoch 1.7446, total 87.0928
(T) | Epoch=050, loss=7.8638, con=7.0858, intent=2.4982, rec=0.0295, this epoch 1.7506, total 88.8434  alpha=[apa:0.718, apcpa:0.154, aptpa:0.127]
(T) | Epoch=051, loss=7.8709, con=7.0930, intent=2.4985, rec=0.0313, this epoch 1.7684, total 90.6118
(T) | Epoch=052, loss=7.8778, con=7.1005, intent=2.4985, rec=0.0279, this epoch 1.7419, total 92.3538
(T) | Epoch=053, loss=7.8773, con=7.1002, intent=2.4980, rec=0.0287, this epoch 1.7495, total 94.1033
(T) | Epoch=054, loss=7.8643, con=7.0880, intent=2.4974, rec=0.0247, this epoch 1.8058, total 95.9090
(T) | Epoch=055, loss=7.8403, con=7.0645, intent=2.4967, rec=0.0243, this epoch 1.7512, total 97.6602
(T) | Epoch=056, loss=7.8248, con=7.0488, intent=2.4960, rec=0.0303, this epoch 1.7527, total 99.4130
(T) | Epoch=057, loss=7.8134, con=7.0384, intent=2.4954, rec=0.0250, this epoch 1.7522, total 101.1651
(T) | Epoch=058, loss=7.8123, con=7.0377, intent=2.4949, rec=0.0253, this epoch 1.7460, total 102.9111
(T) | Epoch=059, loss=7.8143, con=7.0404, intent=2.4942, rec=0.0240, this epoch 1.7619, total 104.6730
(T) | Epoch=060, loss=7.8155, con=7.0421, intent=2.4933, rec=0.0236, this epoch 1.7446, total 106.4175  alpha=[apa:0.743, apcpa:0.142, aptpa:0.115]
(T) | Epoch=061, loss=7.8075, con=7.0347, intent=2.4920, rec=0.0268, this epoch 2.0053, total 108.4229
(T) | Epoch=062, loss=7.7971, con=7.0251, intent=2.4903, rec=0.0258, this epoch 1.7468, total 110.1697
