(T) | Epoch=054, loss=9.0214, con=8.2836, intent=2.4464, rec=0.0250, this epoch 2.1030, total 114.7117
(T) | Epoch=055, loss=9.1225, con=8.3831, intent=2.4467, rec=0.0399, this epoch 2.0977, total 116.8094
(T) | Epoch=056, loss=9.1485, con=8.4088, intent=2.4469, rec=0.0421, this epoch 2.0970, total 118.9065
(T) | Epoch=057, loss=9.0939, con=8.3542, intent=2.4470, rec=0.0425, this epoch 2.0766, total 120.9830
(T) | Epoch=058, loss=9.0061, con=8.2664, intent=2.4469, rec=0.0434, this epoch 2.0864, total 123.0694
(T) | Epoch=059, loss=9.2161, con=8.4763, intent=2.4470, rec=0.0433, this epoch 2.2292, total 125.2987
(T) | Epoch=060, loss=9.3834, con=8.6419, intent=2.4470, rec=0.0603, this epoch 2.1108, total 127.4095
(T) | Epoch=061, loss=9.4378, con=8.6959, intent=2.4469, rec=0.0653, this epoch 2.2768, total 129.6863
(T) | Epoch=062, loss=9.4208, con=8.6813, intent=2.4465, rec=0.0434, this epoch 2.1144, total 131.8007
(T) | Epoch=063, loss=9.3566, con=8.6162, intent=2.4463, rec=0.0534, this epoch 2.1122, total 133.9129
(T) | Epoch=064, loss=9.2251, con=8.4837, intent=2.4462, rec=0.0645, this epoch 2.1010, total 136.0139
(T) | Epoch=065, loss=8.9604, con=8.2202, intent=2.4463, rec=0.0524, this epoch 2.1097, total 138.1236
(T) | Epoch=066, loss=8.9519, con=8.2085, intent=2.4468, rec=0.0834, this epoch 2.1457, total 140.2693
(T) | Epoch=067, loss=9.1192, con=8.3766, intent=2.4470, rec=0.0744, this epoch 2.1014, total 142.3707
(T) | Epoch=068, loss=9.1882, con=8.4444, intent=2.4469, rec=0.0887, this epoch 2.1022, total 144.4729
(T) | Epoch=069, loss=9.1948, con=8.4518, intent=2.4466, rec=0.0809, this epoch 2.1395, total 146.6124
(T) | Epoch=070, loss=9.1786, con=8.4348, intent=2.4464, rec=0.0895, this epoch 2.0865, total 148.6989
(T) | Epoch=071, loss=9.1789, con=8.4336, intent=2.4464, rec=0.1055, this epoch 2.1386, total 150.8374
(T) | Epoch=072, loss=9.2238, con=8.4791, intent=2.4463, rec=0.0991, this epoch 2.0926, total 152.9300
(T) | Epoch=073, loss=9.2628, con=8.5201, intent=2.4463, rec=0.0788, this epoch 2.1453, total 155.0753
(T) | Epoch=074, loss=9.2990, con=8.5548, intent=2.4461, rec=0.0948, this epoch 2.1008, total 157.1761
(T) | Epoch=075, loss=9.3097, con=8.5644, intent=2.4461, rec=0.1073, this epoch 2.1034, total 159.2795
(T) | Epoch=076, loss=9.2650, con=8.5214, intent=2.4460, rec=0.0895, this epoch 2.1069, total 161.3864
(T) | Epoch=077, loss=9.1588, con=8.4143, intent=2.4460, rec=0.0997, this epoch 2.0944, total 163.4807
(T) | Epoch=078, loss=9.0198, con=8.2748, intent=2.4459, rec=0.1054, this epoch 2.0994, total 165.5802
(T) | Epoch=079, loss=8.8506, con=8.1084, intent=2.4459, rec=0.0777, this epoch 2.1097, total 167.6899
(T) | Epoch=080, loss=8.8566, con=8.1147, intent=2.4459, rec=0.0745, this epoch 2.1047, total 169.7945
