(T) | Epoch=090, loss=8.7623, con=8.0997, intent=2.4447, rec=0.0298, this epoch 0.9106, total 82.9620
(T) | Epoch=091, loss=8.8460, con=8.1897, intent=2.4447, rec=0.0224, this epoch 0.9400, total 83.9020
(T) | Epoch=092, loss=8.8850, con=8.2327, intent=2.4447, rec=0.0187, this epoch 0.9069, total 84.8089
(T) | Epoch=093, loss=8.8782, con=8.2327, intent=2.4446, rec=0.0193, this epoch 0.9032, total 85.7121
(T) | Epoch=094, loss=8.8264, con=8.1865, intent=2.4446, rec=0.0266, this epoch 0.9023, total 86.6144
(T) | Epoch=095, loss=8.7702, con=8.1372, intent=2.4446, rec=0.0280, this epoch 0.8957, total 87.5100
(T) | Epoch=096, loss=8.7236, con=8.0965, intent=2.4446, rec=0.0456, this epoch 0.9120, total 88.4220
(T) | Epoch=097, loss=8.6929, con=8.0690, intent=2.4445, rec=0.0538, this epoch 0.9082, total 89.3303
(T) | Epoch=098, loss=8.6764, con=8.0563, intent=2.4445, rec=0.0399, this epoch 0.9095, total 90.2398
(T) | Epoch=099, loss=8.6993, con=8.0766, intent=2.4444, rec=0.0486, this epoch 0.9176, total 91.1573
(T) | Epoch=100, loss=8.7236, con=8.0978, intent=2.4444, rec=0.0375, this epoch 0.9627, total 92.1201
(T) | Epoch=101, loss=8.7595, con=8.1285, intent=2.4444, rec=0.0351, this epoch 1.0096, total 93.1297
(T) | Epoch=102, loss=8.7864, con=8.1475, intent=2.4444, rec=0.0380, this epoch 0.9486, total 94.0783
(T) | Epoch=103, loss=8.7926, con=8.1461, intent=2.4444, rec=0.0312, this epoch 0.9079, total 94.9862
(T) | Epoch=104, loss=8.7910, con=8.1358, intent=2.4444, rec=0.0362, this epoch 0.9162, total 95.9024
(T) | Epoch=105, loss=8.7665, con=8.1031, intent=2.4444, rec=0.0330, this epoch 0.9297, total 96.8321
(T) | Epoch=106, loss=8.7361, con=8.0666, intent=2.4444, rec=0.0301, this epoch 0.9105, total 97.7426
(T) | Epoch=107, loss=8.7137, con=8.0362, intent=2.4443, rec=0.0426, this epoch 0.9247, total 98.6673
(T) | Epoch=108, loss=8.6900, con=8.0122, intent=2.4443, rec=0.0261, this epoch 0.9045, total 99.5719
(T) | Epoch=109, loss=8.6742, con=7.9948, intent=2.4444, rec=0.0317, this epoch 0.9114, total 100.4832
(T) | Epoch=110, loss=8.6860, con=8.0075, intent=2.4444, rec=0.0280, this epoch 0.9164, total 101.3997
(T) | Epoch=111, loss=8.7026, con=8.0290, intent=2.4444, rec=0.0364, this epoch 0.9132, total 102.3129
(T) | Epoch=112, loss=8.7060, con=8.0369, intent=2.4444, rec=0.0351, this epoch 0.9090, total 103.2219
